[Point];[Position];[Force];[Time]
1;40.0;3.646515;T#0ms
2;40.01;4.0542489999999995;T#0ms
3;40.02;4.206691;T#0ms
4;40.04;4.48108;T#0ms
5;40.05;4.816407;T#0ms
6;40.06;5.090772;T#0ms
7;40.07;5.33462;T#0ms
8;40.08;5.547999999999999;T#0ms
9;40.09;5.487062;T#0ms
10;40.1;5.6699720000000005;T#0ms
11;40.12;5.913819999999999;T#0ms
12;40.13;6.09673;T#0ms
13;40.14;6.188136;T#0ms
14;40.15;6.370998;T#0ms
15;40.16;6.127101000000001;T#0ms
16;40.17;6.370948;T#0ms
17;40.18;6.584326;T#0ms
18;40.19;6.310035;T#0ms
19;40.21;5.380298000000001;T#0ms
20;40.22;4.816358;T#0ms
21;40.23;4.694433999999999;T#0ms
22;40.24;4.084766;T#0ms
23;40.25;3.276929;T#0ms
24;40.27;2.728222;T#0ms
25;40.29;2.179516;T#0ms
26;40.3;1.6155760000000001;T#0ms
27;40.31;0.40237259999999997;T#0ms
28;40.3;-1.8493060000000001;T#0ms
1;40.3;-0.5449528;T#0ms
2;40.31;-0.5183109;T#0ms
3;40.32;-0.48779340000000004;T#0ms
4;40.33;-0.1524906;T#0ms
5;40.34;0.03041954;T#0ms
6;40.35;0.1523434;T#0ms
7;40.36;0.2437984;T#0ms
8;40.37;0.3657223;T#0ms
9;40.39;0.2590328;T#0ms
10;40.41;0.9144039;T#0ms
11;40.42;2.103271;T#0ms
12;40.43;4.237158;T#0ms
13;40.44;7.2550289999999995;T#0ms
14;40.45;11.919067;T#0ms
15;40.46;16.82695;T#0ms
16;40.47;20.30205;T#0ms
17;40.48;23.807660000000002;T#0ms
18;40.49;28.7155;T#0ms
19;40.5;33.684290000000004;T#0ms
20;40.51;36.91559;T#0ms
21;40.52;58.5763;T#0ms
22;40.51;69.13658000000001;T#0ms
23;40.52;72.64304;T#0ms
1;40.52;68.96744;T#0ms
2;40.53;68.51182;T#0ms
3;40.54;68.5804;T#0ms
4;40.55;68.67952;T#0ms
5;40.56;68.67344;T#0ms
6;40.57;68.88681;T#0ms
7;40.58;68.81668;T#0ms
8;40.59;68.35634;T#0ms
9;40.6;68.46606;T#0ms
10;40.61;68.64895;T#0ms
11;40.62;70.58161;T#0ms
12;40.63;74.88585;T#0ms
13;40.64;81.16542;T#0ms
14;40.65;95.22438000000001;T#0ms
15;40.66;113.14721999999999;T#0ms
16;40.67;136.0907;T#0ms
17;40.68;166.6169;T#0ms
18;40.69;193.2352;T#0ms
19;40.7;215.3175;T#0ms
20;40.71;234.6684;T#0ms
21;40.72;245.202;T#0ms
22;40.73;246.429;T#0ms
23;40.74;240.2256;T#0ms
24;40.75;230.1507;T#0ms
25;40.76;219.1538;T#0ms
26;40.77;211.4276;T#0ms
27;40.78;209.5743;T#0ms
28;40.79;210.7875;T#0ms
29;40.8;212.3076;T#0ms
30;40.81;215.295;T#0ms
31;40.82;217.9725;T#0ms
32;40.83;218.0975;T#0ms
33;40.84;218.0715;T#0ms
34;40.85;217.9013;T#0ms
35;40.86;217.1723;T#0ms
36;40.87;218.3779;T#0ms
37;40.88;220.8228;T#0ms
38;40.89;223.2249;T#0ms
39;40.9;225.4258;T#0ms
40;40.91;227.1816;T#0ms
41;40.92;226.5766;T#0ms
42;40.93;226.4196;T#0ms
43;40.94;226.7732;T#0ms
44;40.95;227.5216;T#0ms
45;40.96;229.4496;T#0ms
46;40.97;230.7985;T#0ms
47;40.98;231.9432;T#0ms
48;40.99;233.4049;T#0ms
49;41.0;234.0404;T#0ms
50;41.01;235.8283;T#0ms
51;41.02;237.6314;T#0ms
52;41.03;240.477;T#0ms
53;41.04;243.7524;T#0ms
54;41.05;246.74599999999998;T#0ms
55;41.06;249.3554;T#0ms
56;41.07;251.53799999999998;T#0ms
57;41.08;252.457;T#0ms
58;41.09;254.1169;T#0ms
59;41.1;256.8786;T#0ms
60;41.11;259.0491;T#0ms
61;41.12;261.4696;T#0ms
62;41.13;264.0104;T#0ms
63;41.14;266.4689;T#0ms
64;41.15;269.7185;T#0ms
65;41.16;272.8659;T#0ms
66;41.17;277.8331;T#0ms
67;41.18;284.1066;T#0ms
68;41.19;289.8146;T#0ms
69;41.2;294.7453;T#0ms
70;41.21;299.9702;T#0ms
71;41.22;305.6127;T#0ms
72;41.23;313.1879;T#0ms
73;41.24;323.6499;T#0ms
74;41.25;337.9467;T#0ms
75;41.26;353.5116;T#0ms
76;41.27;367.30400000000003;T#0ms
77;41.28;380.9606;T#0ms
78;41.29;395.6644;T#0ms
79;41.3;410.5068;T#0ms
80;41.31;426.983;T#0ms
81;41.32;443.7032;T#0ms
82;41.33;462.0512;T#0ms
83;41.34;481.9904;T#0ms
84;41.35;503.5626;T#0ms
85;41.36;524.9798;T#0ms
86;41.37;536.6444;T#0ms
87;41.38;539.3454;T#0ms
88;41.39;538.7844;T#0ms
89;41.4;533.3705;T#0ms
90;41.41;527.1137;T#0ms
